region,iron ore production,latitude,longitude
Australia,817000,-24.15,133.08
Brazil,397000,-10.47,-52.55
China,375000,31.55,108.2
India,156000,22.37,79.13
Russia,101000,65.45,97.35
South Africa,73000,-30.44,25.12
Ukraine,67000,49.3,32.28
United States,46000,37.91,-97.02
Canada,46000,58.27,-105.42
Iran,27000,32.44,53.3
Sweden,25000,64.2,18.03
Kazakhstan,21000,47.1,67.3
Mexico,18840,20.2,-100.1
Chile,17109,-33.24,-70.9
Venezuela,16800,7.3,-65.55
Sierra Leone,11895,7.3,-11.17
Malaysia,11588,3.59,101.91
Peru,10126,-11,-75
Turkey,8589,39.57,35.54
Mongolia,6736,46,105
Vietnam,4708,17.05,107.55
Indonesia,4000,-1.09,115.49
Norway,3409,60.55,7.45
Egypt,3320,26.01,30.14
North Korea,3054,39.09,126.3
Algeria,1067,29.42,3.08
Philippines,1057,11.4,124.03
